cod_situacion_comercio;desc_situacion_comercio
1;CÓDIGO ACTIVO (TRANSACCIONÓ EN LOS ÚLTIMOS 3 MESES)
2;CÓDIGO ACTIVO SIN TRANSACCIONES POR MÁS DE 12 MESES (SÍ HAN TRANSACCIONADO ANTES)
3;CÓDIGO BLOQUEADO PERMANENTEMENTE
4;CÓDIGO SIN TRANSACCIONES POR MÁS DE 3 MESES (SÍ HAN TRANSACCIONADO ANTES)
5;CÓDIGO NUEVO INSTALADO, CON TRANSACCIÓN DE PRUEBA
6;CÓDIGO SIN TRANSACCIONES POR MÁS DE 6 MESES (SÍ HAN TRANSACCIONADO ANTES)
7;CÓDIGO NUEVO INSTALADO
8;CÓDIGO NUEVO INSTALADO SIN TRANSACCIONES POR MÁS DE 3 MESES
9;CÓDIGO BLOQUEADO TEMPORALMENTE
